	9G3MO	9G2MO	9G1MO	8G3MO	8G2MO	8G1MO	7G3MO	7G2MO	7G1MO	5G3MO	5G2MO	5G1MO	4G3MO	4G2MO	4G1MO	3G3MO	3G2MO	3G1MO	2G3MO	2G2MO	2G1MO	1G3MO	1G2MO	1G1MO	10G3MO	10G2MO	10G1MO	1R1MO	1R2MO	1R3MO	2R1MO	2R2MO	2R3MO	3R1MO	3R2MO	3R3MO	4R1MO	4R2MO	4R3MO	5R1MO	5R2MO	5R3MO	6R1MO	6R2MO	6R3MO	7R1MO	7R2MO	7R3MO
1G2MO	27503.69	27499.88	27495.44	27232.1	27224.77	27223.05	27104.31	27126.94	27139.43	30022.44	30006.99	29991.11	8382.9	8375.6	8386.76	8480.7	8463.13	8452.11	8649.62	8670.18	8685.72	24.9	0	15.48	12980.81	12971.74	12984.11	96213	96219.4	96245.09	87169.2	87181.56	87197.05	87163.44	87151.62	87151.18	87111.73	87114.46	87134.85	87070.96	87065.97	87074.37	83169.28	83159.44	83160.35	86319.67	86327.5	86349.79
1G1MO	27490.91	27487.1	27482.65	27218.66	27211.33	27209.6	27090.84	27113.47	27125.96	30007.82	29992.37	29976.49	8368.98	8361.68	8372.87	8466.88	8449.32	8438.31	8636.04	8656.59	8672.13	40.25	15.48	0	12970.01	12960.96	12973.32	96208.57	96214.97	96240.66	87164.42	87176.78	87192.27	87158.66	87146.83	87146.39	87106.89	87109.62	87130	87066.12	87061.13	87069.53	83164.67	83154.83	83155.74	86314.99	86322.83	86345.12
10G3MO	14997.4	14996.9	14994.54	15179.05	15173.47	15175.42	15077.47	15103.66	15113.25	19304.25	19285.2	19268.05	5837.03	5833.05	5802.68	5678.31	5681	5681.57	5354.59	5344.31	5334.96	12995.02	12980.81	12970.01	0	15.72	12.96	103155.06	103160.89	103186.5	93922.91	93935.53	93950.56	93912.86	93895.05	93893.12	93816.21	93816.58	93838.1	93777.41	93770.43	93776.82	90069.06	90062.74	90066.04	93152.5	93160.37	93182.51
10G2MO	15010.5	15010.01	15007.66	15193.28	15187.71	15189.66	15091.76	15117.95	15127.54	19319.7	19300.65	19283.5	5835.4	5831.38	5800.98	5676.65	5679.29	5679.81	5352.72	5342.5	5333.18	12985.93	12971.74	12960.96	15.72	0	12.37	103160.27	103166.1	103191.71	93928.28	93940.9	93955.94	93918.24	93900.44	93898.51	93821.64	93822.02	93843.53	93782.84	93775.86	93782.25	90074.2	90067.88	90071.18	93157.76	93165.63	93187.77
10G1MO	14998.86	14998.38	14996.04	15182.38	15176.81	15178.78	15080.91	15107.1	15116.69	19310.6	19291.55	19274.4	5846.03	5842.02	5811.64	5687.29	5689.95	5690.49	5363.44	5353.2	5343.87	12998.29	12984.11	12973.32	12.96	12.37	0	103167.19	103173.01	103198.62	93935.08	93947.7	93962.74	93925.04	93907.23	93905.3	93828.4	93828.78	93850.29	93789.6	93782.62	93789.01	90081.16	90074.85	90078.14	93164.64	93172.51	93194.65
1R1MO	107828.4	107810.23	107797.86	105783.19	105773.96	105759.56	105639.94	105634.78	105649.87	102061.36	102069.68	102070.6	97913.51	97923.02	97955.45	98059.46	98066.7	98072.78	98380.48	98380.94	98383.48	96223.97	96213	96208.57	103155.06	103160.27	103167.19	0	8.03	32.36	9295.95	9283.26	9268.92	9310.21	9334.05	9337.56	9458.7	9461.55	9439.01	9493.92	9503.41	9499.89	13092.65	13099.96	13097.36	10008.92	10001.06	9979.04
1R2MO	107833.43	107815.26	107802.89	105788.17	105778.94	105764.54	105644.92	105639.76	105654.85	102066.05	102074.38	102075.29	97919.48	97928.98	97961.42	98065.43	98072.67	98078.74	98386.44	98386.9	98389.43	96230.37	96219.4	96214.97	103160.89	103166.1	103173.01	8.03	0	25.7	9301.13	9288.44	9274.09	9315.36	9339.17	9342.68	9463.63	9466.46	9443.93	9498.87	9508.34	9504.82	13098.64	13105.96	13103.36	10014.56	10006.7	9984.68
1R3MO	107858.52	107840.35	107827.98	105813.21	105803.99	105789.58	105669.97	105664.8	105679.89	102090.8	102099.14	102100.05	97945.13	97954.64	97987.07	98091.08	98098.32	98104.4	98412.09	98412.56	98415.09	96256.06	96245.09	96240.66	103186.5	103191.71	103198.62	32.36	25.7	0	9326.34	9313.65	9299.3	9340.56	9364.35	9367.85	9488.63	9491.45	9468.91	9523.88	9533.34	9529.81	13124.3	13131.62	13129.03	10040.08	10032.23	10010.2
2R1MO	98535.24	98517.08	98504.71	96492.26	96483.03	96468.64	96348.8	96343.73	96358.84	92795.15	92803.33	92804.11	88714.29	88723.94	88756.32	88859.33	88866.86	88873.12	89179.12	89179.29	89181.6	87180.69	87169.2	87164.42	93922.91	93928.28	93935.08	9295.95	9301.13	9326.34	0	12.69	27.85	35.88	86.88	98.97	409.51	427.99	415.47	403.92	421.17	434.68	4105.02	4120.94	4124.56	1036.15	1030.2	1012.2
2R2MO	98547.92	98529.76	98517.39	96504.94	96495.7	96481.31	96361.48	96356.41	96371.51	92807.77	92815.95	92816.73	88726.87	88736.52	88768.9	88871.9	88879.43	88885.69	89191.7	89191.87	89194.18	87193.05	87181.56	87176.78	93935.53	93940.9	93947.7	9283.26	9288.44	9313.65	12.69	0	15.74	42.37	92.93	104.71	414.29	432.63	419.57	409.9	427.17	440.37	4116.45	4132.33	4135.93	1044.71	1038.71	1020.59
2R3MO	98562.09	98543.94	98531.57	96519.05	96509.82	96495.43	96375.6	96370.52	96385.63	92821.53	92829.71	92830.49	88742.03	88751.68	88784.06	88887.06	88894.59	88900.85	89206.86	89207.02	89209.34	87208.54	87197.05	87192.27	93950.56	93955.94	93962.74	9268.92	9274.09	9299.3	27.85	15.74	0	48.89	96.54	107.68	414.48	432.59	418.84	411.72	428.99	441.74	4132.18	4148.06	4151.65	1059.11	1053.09	1034.88
3R1MO	98520.21	98502.05	98489.68	96476.94	96467.71	96453.32	96333.51	96328.43	96343.53	92778.24	92786.43	92787.21	88705.25	88714.9	88747.28	88850.26	88857.79	88864.06	89170.02	89170.17	89172.48	87174.94	87163.44	87158.66	93912.86	93918.24	93925.04	9310.21	9315.36	9340.56	35.88	42.37	48.89	0	51.06	63.1	373.63	392.13	379.71	368.19	385.45	398.87	4107.33	4123.46	4127.24	1052.09	1046.3	1028.72
3R2MO	98495.51	98477.35	98464.98	96451.85	96442.62	96428.23	96308.45	96303.35	96318.46	92750.98	92759.18	92759.97	88688.83	88698.48	88730.86	88833.8	88841.35	88847.62	89153.51	89153.66	89155.96	87163.13	87151.62	87146.83	93895.05	93900.44	93907.23	9334.05	9339.17	9364.35	86.88	92.93	96.54	51.06	0	12.24	322.83	341.41	329.37	317.15	334.41	347.82	4107.43	4123.85	4127.86	1073.12	1067.57	1050.61
3R3MO	98491.81	98473.64	98461.28	96448.05	96438.82	96424.42	96304.66	96299.56	96314.66	92746.61	92754.81	92755.6	88687.24	88696.9	88729.28	88832.21	88839.76	88846.03	89151.91	89152.05	89154.35	87162.7	87151.18	87146.39	93893.12	93898.51	93905.3	9337.56	9342.68	9367.85	98.97	104.71	107.68	63.1	12.24	0	310.65	329.2	317.13	305.22	322.49	335.81	4109.95	4126.44	4130.5	1080.51	1075.02	1058.18
4R1MO	98371.14	98352.96	98340.58	96324.87	96315.65	96301.24	96181.69	96176.5	96191.58	92609.49	92617.74	92618.59	88619.1	88628.79	88661.16	88763.84	88771.46	88777.78	89083.24	89083.31	89085.55	87123.33	87111.73	87106.89	93816.21	93821.64	93828.4	9458.7	9463.63	9488.63	409.51	414.29	414.48	373.63	322.83	310.65	0	19.21	24.64	42.97	45.86	41.84	4157.15	4175.36	4180.77	1272.94	1268.73	1255.28
4R2MO	98368.67	98350.48	98338.11	96322.23	96313.01	96298.6	96179.06	96173.87	96188.95	92605.91	92614.17	92615.02	88620.04	88629.73	88662.1	88764.76	88772.39	88778.71	89084.14	89084.21	89086.45	87126.06	87114.46	87109.62	93816.58	93822.02	93828.78	9461.55	9466.46	9491.45	427.99	432.63	432.59	392.13	341.41	329.2	19.21	0	22.92	54.34	51.07	40.09	4165.67	4183.97	4189.46	1289.5	1285.34	1272.03
4R3MO	98391.12	98372.93	98360.56	96344.72	96335.5	96321.09	96201.54	96196.35	96211.44	92628.59	92636.85	92637.7	88641.31	88651.01	88683.37	88786.05	88793.67	88799.99	89105.43	89105.5	89107.74	87146.45	87134.85	87130	93838.1	93843.53	93850.29	9439.01	9443.93	9468.91	415.47	419.57	418.84	379.71	329.37	317.13	24.64	22.92	0	67.6	69.1	61.35	4181.77	4199.98	4205.4	1294.14	1289.86	1276.24
5R1MO	98335.51	98317.33	98304.96	96289.46	96280.24	96265.82	96146.25	96141.07	96156.16	92575.31	92583.57	92584.41	88579.78	88589.47	88621.84	88724.53	88732.15	88738.47	89043.95	89044.02	89046.27	87082.55	87070.96	87066.12	93777.41	93782.84	93789.6	9493.92	9498.87	9523.88	403.92	409.9	411.72	368.19	317.15	305.22	42.97	54.34	67.6	0	17.27	32.57	4114.19	4132.39	4137.81	1237.04	1232.95	1219.85
5R2MO	98326.26	98308.08	98295.71	96280.08	96270.86	96256.45	96136.88	96131.7	96146.79	92565.23	92573.49	92574.33	88573.26	88582.96	88615.32	88718	88725.62	88731.94	89037.4	89037.47	89039.72	87077.57	87065.97	87061.13	93770.43	93775.86	93782.62	9503.41	9508.34	9533.34	421.17	427.17	428.99	385.45	334.41	322.49	45.86	51.07	69.1	17.27	0	17.94	4114.6	4132.9	4138.39	1247.15	1243.13	1230.24
5R3MO	98330.1	98311.91	98299.54	96283.76	96274.54	96260.12	96140.58	96135.39	96150.47	92568.04	92576.3	92577.14	88580.14	88589.83	88622.2	88724.87	88732.49	88738.81	89044.25	89044.32	89046.56	87085.97	87074.37	87069.53	93776.82	93782.25	93789.01	9499.89	9504.82	9529.81	434.68	440.37	441.74	398.87	347.82	335.81	41.84	40.09	61.35	32.57	17.94	0	4127.57	4145.94	4151.48	1264.86	1260.86	1248.01
6R1MO	94937.93	94919.91	94907.6	92913.34	92904.03	92889.76	92768.45	92763.97	92779.21	89323.12	89330.83	89331.19	84821	84830.5	84862.93	84966.99	84974.22	84980.28	85288.07	85288.56	85291.11	83180.54	83169.28	83164.67	90069.06	90074.2	90081.16	13092.65	13098.64	13124.3	4105.02	4116.45	4132.18	4107.33	4107.43	4109.95	4157.15	4165.67	4181.77	4114.19	4114.6	4127.57	0	28.93	46.95	3168.57	3176.28	3198.44
6R2MO	94936.01	94918	94905.68	92911.69	92902.39	92888.12	92766.78	92762.32	92777.56	89322.99	89330.69	89331.05	84813.86	84823.36	84855.79	84959.88	84967.1	84973.16	85280.99	85281.48	85284.03	83170.69	83159.44	83154.83	90062.74	90067.88	90074.85	13099.96	13105.96	13131.62	4120.94	4132.33	4148.06	4123.46	4123.85	4126.44	4175.36	4183.97	4199.98	4132.39	4132.9	4145.94	28.93	0	18.91	3181.43	3189.13	3211.26
6R3MO	94942.11	94924.1	94911.79	92917.97	92908.67	92894.4	92773.05	92768.59	92783.83	89330.19	89337.89	89338.25	84816.61	84826.11	84858.54	84962.64	84969.86	84975.92	85283.77	85284.27	85286.83	83171.59	83160.35	83155.74	90066.04	90071.18	90078.14	13097.36	13103.36	13129.03	4124.56	4135.93	4151.65	4127.24	4127.86	4130.5	4180.77	4189.46	4205.4	4137.81	4138.39	4151.48	46.95	18.91	0	3182.8	3190.49	3212.61
7R1MO	97876.1	97858	97845.65	95840.3	95831.04	95816.7	95696.27	95691.43	95706.59	92184.1	92192.11	92192.73	87924.27	87933.84	87966.25	88069.79	88077.17	88083.33	88390.25	88390.57	88393.01	86331.01	86319.67	86314.99	93152.5	93157.76	93164.64	10008.92	10014.56	10040.08	1036.15	1044.71	1059.11	1052.09	1073.12	1080.51	1272.94	1289.5	1294.14	1237.04	1247.15	1264.86	3168.57	3181.43	3182.8	0	7.87	30.14
7R2MO	97883.85	97865.75	97853.4	95848.04	95838.78	95824.44	95704.01	95699.17	95714.33	92191.76	92199.77	92200.39	87932.14	87941.71	87974.12	88077.66	88085.04	88091.2	88398.12	88398.44	88400.88	86338.84	86327.5	86322.83	93160.37	93165.63	93172.51	10001.06	10006.7	10032.23	1030.2	1038.71	1053.09	1046.3	1067.57	1075.02	1268.73	1285.34	1289.86	1232.95	1243.13	1260.86	3176.28	3189.13	3190.49	7.87	0	22.29
7R3MO	97905.36	97887.26	97874.91	95869.49	95860.23	95845.89	95725.47	95720.63	95735.79	92212.88	92220.89	92221.51	87954.34	87963.92	87996.33	88099.87	88107.24	88113.41	88420.32	88420.65	88423.08	86361.13	86349.79	86345.12	93182.51	93187.77	93194.65	9979.04	9984.68	10010.2	1012.2	1020.59	1034.88	1028.72	1050.61	1058.18	1255.28	1272.03	1276.24	1219.85	1230.24	1248.01	3198.44	3211.26	3212.61	30.14	22.29	0
